Nom de la demande:Toulouse_2010-2013
Pas de temps:Journalier
Date de début:01/01/2010
Date de fin:31/12/2013
Série:31035001

ETPP:EVAPOTRANSPIRATION PENMAN (MILLIMETRES)
RG:RAYONNEMENT GLOBAL (JOULES/CM2)
RR:HAUTEUR DES PRECIPITATIONS (MILLIMETRES)
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS)
TN:TEMPERATURE MINIMALE (DEGRES CELSIUS)
TX:TEMPERATURE MAXIMALE (DEGRES CELSIUS)

NUM_POSTE;AN;MOIS;JOUR;ETPP;RG;RR;TM;TN;TX;
31035002;2010;1;1;1.3;227;0.0;6.6;6.3;8.2;
31035002;2010;1;2;0.3;285;2.0;1.8;0.4;4.5;
31035002;2010;1;3;1.1;246;5.0;3.4;0.3;4.9;
31035002;2010;1;4;0.4;351;0.0;5.0;3.0;7.7;
31035002;2010;1;5;0.3;132;0.5;4.0;2.1;6.6;
31035002;2010;1;6;0.2;753;0.0;2.1;-1.6;8.6;
31035002;2010;1;7;0.2;188;2.0;0.8;-2.1;3.3;
31035002;2010;1;8;0.4;88;0.0;-1.1;-1.9;-0.6;
31035002;2010;1;9;0.4;322;0.0;-3.5;-4.1;-2.6;
31035002;2010;1;10;0.4;618;0.5;-3.3;-4.1;2.2;
31035002;2010;1;11;0.1;728;0.0;-3.9;-8.1;4.4;
31035002;2010;1;12;0.4;411;7.0;-2.1;-9.3;6.6;
31035002;2010;1;13;0.5;779;0.0;8.0;1.9;13.7;
31035002;2010;1;14;1.0;420;12.0;9.0;6.4;13.7;
31035002;2010;1;15;0.5;646;0.0;5.6;4.3;8.9;
31035002;2010;1;16;0.2;408;3.0;6.1;-0.7;9.2;
31035002;2010;1;17;0.5;432;0.0;7.9;6.1;11.8;
31035002;2010;1;18;0.3;616;0.5;2.8;-0.8;11.4;
31035002;2010;1;19;0.4;451;2.0;6.2;0.9;8.8;
31035002;2010;1;20;0.6;252;12.5;8.4;7.0;11.2;
31035002;2010;1;21;0.5;714;0.0;6.6;6.0;10.1;
31035002;2010;1;22;0.3;895;0.5;4.9;-0.8;12.3;
31035002;2010;1;23;0.9;577;0.0;7.1;3.7;10.8;
31035002;2010;1;24;0.4;207;1.5;7.6;6.0;8.8;
31035002;2010;1;25;0.6;359;0.0;5.0;3.7;7.4;
31035002;2010;1;26;0.4;985;0.5;2.6;-2.0;7.1;
31035002;2010;1;27;0.8;896;0.0;1.5;0.1;4.5;
31035002;2010;1;28;0.7;459;0.0;3.5;-1.5;7.0;
31035002;2010;1;29;0.9;379;4.5;6.7;4.6;9.7;
31035002;2010;1;30;1.2;567;3.0;5.2;2.7;8.1;
31035002;2010;1;31;0.5;1112;0.0;1.3;-1.0;5.3;
31035002;2010;2;1;0.4;1050;0.0;0.0;-5.4;7.4;
31035002;2010;2;2;0.4;1123;0.0;1.5;-4.2;9.8;
31035002;2010;2;3;0.5;1166;0.5;2.8;-3.9;12.0;
31035002;2010;2;4;0.2;570;9.0;9.0;-0.8;12.6;
31035002;2010;2;5;1.1;917;1.5;8.1;6.3;12.9;
31035002;2010;2;6;0.9;900;4.0;8.4;2.5;13.0;
31035002;2010;2;7;1.1;737;0.0;7.4;7.0;11.6;
31035002;2010;2;8;0.6;716;2.5;3.8;-1.2;8.2;
31035002;2010;2;9;0.9;542;0.0;4.0;3.1;5.4;
31035002;2010;2;10;1.2;577;0.0;1.0;0.2;2.9;
31035002;2010;2;11;1.4;662;0.0;-1.9;-3.6;0.4;
31035002;2010;2;12;0.8;495;0.0;-2.1;-3.9;0.0;
31035002;2010;2;13;0.9;793;0.0;-1.0;-3.5;1.2;
31035002;2010;2;14;0.8;463;0.0;-0.6;-1.8;1.5;
31035002;2010;2;15;0.7;1201;0.0;0.5;-2.0;4.1;
31035002;2010;2;16;0.9;515;0.0;5.3;-0.8;10.7;
31035002;2010;2;17;0.9;373;1.5;9.6;7.0;11.5;
31035002;2010;2;18;1.1;1148;17.0;9.5;5.1;14.2;
31035002;2010;2;19;1.1;509;1.5;6.7;6.1;8.3;
31035002;2010;2;20;1.2;934;0.0;5.8;2.6;9.9;
31035002;2010;2;21;1.2;672;0.0;6.2;0.1;12.5;
31035002;2010;2;22;1.3;741;0.0;9.9;5.4;13.1;
31035002;2010;2;23;1.8;1214;0.0;11.3;7.3;17.3;
31035002;2010;2;24;1.8;1342;2.5;11.3;5.9;17.3;
