Nom de la demande:farmManagement_1							
Pas de temps:Journalier							
Date de début:01/01/2013							
Date de fin:31/12/2013							
Station(s):31035002							
							
ETP:EVAPOTRANSPIRATION MESUREE (MILLIMETRES)							
RR:HAUTEUR DES PRECIPITATIONS (MILLIMETRES)							
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS)							
PAR:RAYONNEMENT PAR (JOULES/CM2)							
							
NUM_POSTE	AN	MOIS	JOUR	ETP	RR	TM	PAR
31035002	2013	1	1		6.5	8.7	180.0
31035002	2013	1	2		0.0	6.3	191.0
31035002	2013	1	3		0.0	3.9	337.0
31035002	2013	1	4		0.5	6.5	75.0
31035002	2013	1	5		0.0	6.2	67.0
31035002	2013	1	6		0.0	4.8	67.0
31035002	2013	1	7		0.0	4.1	64.0
31035002	2013	1	8		0.0	3.5	57.0
31035002	2013	1	9		0.0	4.3	57.0
31035002	2013	1	10		5.5	8.2	122.0
31035002	2013	1	11		0.5	7.1	312.0
31035002	2013	1	12		10.0	5.1	193.0
31035002	2013	1	13		12.5	5.1	89.0
31035002	2013	1	14		3.5	3.5	154.0
31035002	2013	1	15		11.0	5.5	238.0
31035002	2013	1	16		22.5	2.5	58.0
31035002	2013	1	17		0.5	-0.2	292.0
31035002	2013	1	18		7.0	1.0	124.0
31035002	2013	1	19		26.0	6.5	85.0
31035002	2013	1	20		15.0	3.3	222.0
31035002	2013	1	21		3.0	5.1	287.0
31035002	2013	1	22		0.5	3.9	278.0
31035002	2013	1	23		6.5	4.9	178.0
31035002	2013	1	24		3.0	4.0	212.0
31035002	2013	1	25		1.5	1.8	257.0
31035002	2013	1	26		1.5	5.2	97.0
31035002	2013	1	27		11.0	4.6	113.0
31035002	2013	1	28		1.5	8.2	341.0
31035002	2013	1	29		0.5	7.0	329.0
31035002	2013	1	30		0.0	10.0	389.0
31035002	2013	1	31		0.5	12.3	347.0
31035002	2013	2	1		6.0	13.0	308.0
31035002	2013	2	2		2.0	6.3	179.0
31035002	2013	2	3		0.5	3.8	371.0
31035002	2013	2	4		0.5	9.4	174.0
31035002	2013	2	5		9.0	9.2	214.0
31035002	2013	2	6		12.5	5.1	205.0
31035002	2013	2	7		0.0	3.9	314.0
31035002	2013	2	8		2.0	3.1	156.0
31035002	2013	2	9		10.0	3.7	350.0
31035002	2013	2	10		12.5	7.2	278.0
31035002	2013	2	11		14.5	4.7	390.0
31035002	2013	2	12		0.0	5.5	267.0
31035002	2013	2	13		0.5	6.2	244.0
31035002	2013	2	14		4.0	9.1	280.0
31035002	2013	2	15		0.0	7.9	455.0
31035002	2013	2	16		0.0	5.1	600.0
31035002	2013	2	17		0.5	5.6	599.0
31035002	2013	2	18		0.0	7.6	415.0
31035002	2013	2	19		0.0	8.3	613.0
31035002	2013	2	20		0.0	5.2	582.0
31035002	2013	2	21		0.5	6.0	596.0
31035002	2013	2	22		0.0	1.7	620.0
31035002	2013	2	23		0.0	-1.6	218.0
31035002	2013	2	24		0.0	-1.0	237.0
31035002	2013	2	25		3.5	0.5	376.0
31035002	2013	2	26		0.0	0.6	486.0
31035002	2013	2	27		0.5	1.2	557.0
31035002	2013	2	28		0.5	4.6	519.0
31035002	2013	3	1		0.0	7.6	538.0
31035002	2013	3	2		0.0	4.5	647.0
31035002	2013	3	3		0.0	6.0	670.0
31035002	2013	3	4		0.0	11.1	652.0
31035002	2013	3	5		4.5	11.8	378.0
31035002	2013	3	6		1.0	10.6	246.0
31035002	2013	3	7		6.5	12.3	681.0
31035002	2013	3	8		1.0	13.3	684.0
31035002	2013	3	9		0.0	12.1	642.0
31035002	2013	3	10		3.0	11.9	650.0
31035002	2013	3	11		1.0	12.2	750.0
31035002	2013	3	12		0.0	8.3	450.0
31035002	2013	3	13		2.0	0.7	191.0
31035002	2013	3	14		0.5	3.3	460.0
31035002	2013	3	15		0.0	3.8	836.0
31035002	2013	3	16		0.5	6.2	698.0
31035002	2013	3	17		6.0	8.6	286.0
31035002	2013	3	18		1.0	7.2	592.0
31035002	2013	3	19		1.5	9.3	821.0
31035002	2013	3	20		1.0	9.1	665.0
31035002	2013	3	21		0.0	9.5	875.0
31035002	2013	3	22		0.5	11.0	767.0
31035002	2013	3	23		0.0	11.8	424.0
31035002	2013	3	24		0.0	12.2	610.0
31035002	2013	3	25		5.5	11.5	525.0
31035002	2013	3	26		0.0	11.0	664.0
31035002	2013	3	27		2.0	10.7	678.0
31035002	2013	3	28		2.5	10.2	352.0
31035002	2013	3	29		8.0	13.6	813.0
31035002	2013	3	30		6.5	11.8	695.0
31035002	2013	3	31		0.0	9.8	686.0
31035002	2013	4	1		4.0	8.8	271.0
31035002	2013	4	2		2.5	10.8	515.0
31035002	2013	4	3		0.5	10.5	1012.0
31035002	2013	4	4		11.5	10.4	249.0
31035002	2013	4	5		1.0	6.9	444.0
31035002	2013	4	6		4.5	5.7	275.0
31035002	2013	4	7		2.5	7.3	615.0
31035002	2013	4	8		2.5	9.0	663.0
31035002	2013	4	9		0.0	10.5	401.0
31035002	2013	4	10		0.0	14.2	935.0
31035002	2013	4	11		4.5	13.3	883.0
31035002	2013	4	12		0.0	12.3	1026.0
